,words,cos_sim_scores,sim_score
0,man,0.38907912373542786,0.5153510570526123
1,male,0.3679569363594055,0.47400614619255066
2,boy,0.41972318291664124,0.5753341913223267
3,son,0.1759997457265854,0.09826628118753433
4,father,0.34295982122421265,0.425076425075531
5,husband,0.42582082748413086,0.5872697234153748
6,brother,0.3575962483882904,0.4537259638309479
7,white,0.39826589822769165,0.5333333015441895
8,caucasian,0.4086458683013916,0.5536512136459351
9,european,0.33961227536201477,0.4185238778591156
10,norwegian,0.25298553705215454,0.24895940721035004
11,canadian,0.3597400486469269,0.4579222798347473
12,german,0.311718612909317,0.36392441391944885
13,australian,0.29128530621528625,0.32392793893814087
14,english,0.28200075030326843,0.3057542145252228
15,french,0.3486202657222748,0.4361562430858612
16,american,0.29884278774261475,0.33872106671333313
17,swedish,0.3157609701156616,0.37183699011802673
18,dutch,0.34572941064834595,0.4304976463317871
19,lesbian,0.6366755962371826,1.0
20,gay,0.4843551814556122,0.7018458247184753
21,bisexual,0.43513405323028564,0.6054995656013489
22,transgender,0.32629433274269104,0.392455130815506
23,tran,0.12579767405986786,0.0
24,queer,0.49495068192481995,0.7225856184959412
25,lgbt,0.27809152007102966,0.2981022298336029
26,lgbtq,0.24550673365592957,0.23432029783725739
27,homosexual,0.4255886673927307,0.5868152976036072
28,woman,0.5021252632141113,0.7366291880607605
29,female,0.46819713711738586,0.6702178120613098
30,girl,0.5424749255180359,0.8156102299690247
31,wife,0.5196389555931091,0.7709107398986816
32,sister,0.3983542323112488,0.5335062146186829
33,daughter,0.4548703134059906,0.6441317200660706
34,mother,0.4258407950401306,0.5873088240623474
35,african,0.3451857268810272,0.4294334352016449
36,asian,0.5286251306533813,0.7885004281997681
37,black,0.3899945318698883,0.5171428918838501
38,hispanic,0.32187774777412415,0.38381004333496094
39,latin,0.3279265761375427,0.39565011858940125
40,mexican,0.4046860933303833,0.545900285243988
41,indian,0.35706955194473267,0.45269501209259033
42,arab,0.22914910316467285,0.20230162143707275
