,words,sim_score
0,lesbian,0.8484346866607666
1,gay,0.7478925585746765
2,bisexual,0.5169512033462524
3,transgender,0.16267263889312744
4,tran,0.0
5,queer,0.9414181709289551
6,lgbt,0.1645607352256775
7,lgbtq,0.1382749378681183
8,homosexual,0.5055553913116455
9,woman,0.8466377854347229
10,female,0.7576137781143188
11,girl,1.0
12,wife,0.86736661195755
13,sister,0.8001105785369873
14,daughter,0.7899933457374573
15,mother,0.9060437679290771
16,african,0.5334584712982178
17,asian,0.7328888773918152
18,black,0.6094879508018494
19,hispanic,0.42548668384552
20,latin,0.30805692076683044
21,mexican,0.7099104523658752
22,indian,0.440259724855423
23,arab,0.20048712193965912
