,ethnicity_word,w2v_sim,glove_wk_sim,glove_twitter_sim,ud_sim,chan_sim
0,and,0.0,0.13856059312820435,0.7548019886016846,1.0,0.4039786159992218
1,but,0.5558651685714722,0.18068952858448029,0.8538193702697754,0.877548098564148,0.4945067167282105
2,as,0.3164282441139221,0.16306748986244202,0.10489638149738313,0.8640487194061279,0.3557805716991425
3,until,0.3054286539554596,0.1032622680068016,0.5400845408439636,0.5484475493431091,0.3601576387882233
4,while,0.2449663579463959,0.0025262478739023213,0.7792838215827942,0.9769594073295592,0.6317620873451233
5,of,0.0,0.04133129119873047,0.4751354455947876,0.6471419334411621,0.018463457003235817
6,at,0.1744467467069626,0.04323002323508263,0.18432462215423584,0.4931196868419647,0.26806017756462097
7,by,0.02589072473347187,0.07934048771858215,0.0,0.4032306969165802,0.12650120258331302
8,for,0.17299534380435946,0.06312684714794159,0.4320254325866699,0.6990553140640259,0.06018766015768051
9,with,0.1779235452413559,0.0,0.7089714407920837,0.6974467635154724,0.3392572999000549
10,about,0.403437077999115,0.3794428706169128,0.8042764663696289,0.5817250609397888,0.3111531436443329
11,against,0.18390318751335144,0.2430572211742401,0.14629478752613068,0.04173101857304573,0.08820755034685135
12,between,0.1242954358458519,0.09289630502462387,0.4362301528453827,0.06759130954742433,0.0
13,into,0.27300533652305603,0.3442791700363159,0.6688472032546997,0.4440917670726776,0.2364054769277573
14,through,0.1405581533908844,0.22166794538497925,0.4919689893722534,0.0,0.04946383088827133
15,during,0.0483819842338562,0.13476911187171936,0.28496208786964417,0.35608819127082825,0.00823193695396185
16,before,0.2568550705909729,0.13164357841014862,0.6698415279388428,0.7249125838279724,0.2849181592464447
17,after,0.17866428196430206,0.020442673936486244,0.5036869049072266,0.7478563189506531,0.15749169886112213
18,time,0.3415154814720154,0.16609220206737518,0.34194013476371765,0.6091927289962769,0.6953082680702211
19,year,0.0,0.005319064483046532,0.3667861223220825,0.2713920772075653,0.569846510887146
20,people,0.5000272393226624,0.4987273812294006,0.786268949508667,0.6755966544151306,0.5745581984519958
21,day,0.3166009783744812,0.2990947961807251,0.4014695882797241,0.4913865029811859,0.7546605467796326
22,child,0.5639390349388123,0.6534236073493958,0.3952556848526001,0.21489857137203214,1.0
23,work,0.2889457643032074,0.2218646705150604,0.6856826543807983,0.5069176554679871,0.7223986387252808
24,life,0.5439389944076538,0.4838672876358032,0.5514347553253174,0.32746949791908264,0.8686056733131409
25,thing,1.0,1.0,1.0,0.7400982975959778,0.7861360311508179
26,world,0.4389505982398987,0.17479884624481198,0.1456400752067566,0.17976176738739014,0.4273569881916046
27,way,0.5785560011863708,0.4173115789890289,0.6974826455116272,0.6811431050300598,0.7257454395294191
28,back,0.5604588389396667,0.356285959482193,0.2617306113243103,0.8419864773750305,0.7038630247116089
