,ethnicity_word,w2v_sim,glove_wk_sim,glove_twitter_sim,ud_sim,chan_sim
0,lesbians,0.3681308925151825,0.3452988862991333,0.4548377990722656,0.2618732750415802,0.3234792351722717
1,islam,0.5050429701805115,0.3318181335926056,0.3838643729686737,0.4075570702552795,0.4547169506549835
2,gays,0.43322607874870295,0.3124552667140961,0.4859807789325714,0.2259030044078827,0.3757714331150055
3,bisexuals,0.4017207622528076,0.5046608448028564,0.4092844426631928,0.39220544695854187,0.38582491874694813
4,transgender,0.2442973256111145,0.339169442653656,0.4001756608486176,0.28301990032196045,0.4237590432167053
5,trans,0.3685542345046997,0.42774370312690735,0.4603163003921509,0.3634617924690247,0.39998623728752136
6,queers,0.4442327320575714,0.5291336178779602,0.41753602027893066,0.3188098669052124,0.2911570966243744
7,lgbt,0.41366881132125854,0.28304263949394226,0.3540719747543335,0.309154212474823,0.4035161435604096
8,lgbtq,0.0,0.3695201575756073,0.3256800174713135,0.2869570255279541,0.4393731951713562
9,homosexual,0.3468543887138367,0.2533330023288727,0.3660322427749634,0.2599887549877167,0.34764564037323
10,heterosexual,0.3840955793857575,0.2981727421283722,0.4408267140388489,0.3212866485118866,0.3825981020927429
11,woman,0.5409574508666992,0.3819723725318909,0.4619446694850922,0.3415488004684448,0.3884262442588806
12,women,0.4235537350177765,0.3683309257030487,0.45980980992317205,0.3749400079250336,0.28215059638023376
13,females,0.507876455783844,0.389365553855896,0.3503676056861877,0.409733384847641,0.3426606953144073
14,girls,0.4387198686599731,0.3452243804931641,0.426410049200058,0.33114516735076904,0.3490445911884308
15,non-binary,0.0,0.0,0.0,0.4067647159099579,0.34249112010002136
16,africans,0.6192622780799866,0.4295623600482941,0.3693203926086426,0.27636387944221497,0.2528258562088013
18,blacks,0.3982829451560974,0.36943086981773376,0.3703031241893768,0.2262898087501526,0.22002995014190674
19,hispanic,0.532371461391449,0.4346192479133606,0.5072630047798157,0.4065887928009033,0.4146631360054016
20,latin,0.5709087252616882,0.3741409182548523,0.4638215005397797,0.3728178143501282,0.4158159792423248
21,mexicans,0.5590628385543823,0.41131067276000977,0.3910592794418335,0.3170627355575561,0.2514772117137909
22,indians,0.4610319137573242,0.4035421013832092,0.49359130859375,0.3174564838409424,0.2676890790462494
24,muslims,0.5706838965415955,0.30887845158576965,0.4422595798969269,0.3479911386966705,0.2773106098175049
25,arabs,0.5780408978462219,0.3967944085597992,0.3841354548931122,0.3034510612487793,0.2698825597763061
26,jews,0.5281068682670593,0.2906745970249176,0.4034838676452637,0.2724836766719818,0.2670817673206329
