,words,sim_score
0,lesbian,0.6704568862915039
1,gay,0.6706485748291016
2,bisexual,0.8178642392158508
3,transgender,0.16059128940105438
4,tran,0.5454450845718384
5,queer,0.9325436949729919
6,lgbt,0.884469211101532
7,homosexual,0.6095312237739563
8,woman,0.34765729308128357
9,female,0.37663283944129944
10,girl,0.5647516846656799
11,wife,0.10869644582271576
12,sister,0.0
13,daughter,0.12969030439853668
14,mother,0.25694459676742554
15,african,0.7997902631759644
16,asian,0.9495980143547058
17,black,0.40450409054756165
18,hispanic,0.6330368518829346
19,latin,0.867455244064331
20,mexican,0.9027344584465027
21,indian,0.7589246034622192
22,arab,1.0
