,words,sim_score
0,lesbian,0.7923861145973206
1,gay,0.6552135944366455
2,bisexual,0.5351210236549377
3,transgender,0.19053101539611816
4,tran,0.6100965142250061
5,queer,1.0
6,lgbt,0.11750500649213791
7,lgbtq,0.07081083953380585
8,homosexual,0.4463191628456116
9,woman,0.7741984724998474
10,female,0.36802634596824646
11,girl,0.9046970009803772
12,wife,0.8359788060188293
13,sister,0.9326784610748291
14,daughter,0.8370241522789001
15,mother,0.7850722074508667
16,non-binary,0.39782261848449707
17,african,0.04697364568710327
18,asian,0.45998233556747437
19,black,0.3024163544178009
20,hispanic,0.2085379958152771
21,latin,0.0
22,mexican,0.41820427775382996
23,indian,0.337142676115036
24,arab,0.360260933637619
